,Datetime,Tweet ID,Username,Content,URL
7,2022-08-31 23:01:03+00:00,1.57E+18,sarcasticlykate,@infantmotortest @SBethPTDPT I thought research showed that beta blockers were the most effective option for POTS? I wasnâ€™t sure if helping the POTS would help the vestibular headaches.,https://twitter.com/sarcasticlykate/status/1565112460817960960
513,2022-08-27 20:46:15+00:00,1.56E+18,shard_baby,"I have had a severe ocular and vestibular migraine (no headache) throughout this week, and I am still recovering through postdrome symptoms. I will be catching up, releasing my diagram updates soon, but taking it easy ðŸŒ»",https://twitter.com/shard_baby/status/1563628985254383616
662,2022-08-26 05:22:17+00:00,1.56E+18,dayandnightRN,"@Rectitude2022 headaches, feelings of ""armor on chest"" or ""helmet on head',  uncontrolled edema not r/t heart failure, masses, ca exacerbations, tons of wounds that do not heal, cognitive decline, miscarriages, abnormal menstrual cycles, just to name a few.  oh and vestibular issues",https://twitter.com/dayandnightRN/status/1563034074926616582
882,2022-08-22 13:39:34+00:00,1.56E+18,VestibularFirst,"Learn up-to-date research and techniques at this Live-only webinar, priced at a very reasonable $55 for 2 hours! Tuesday August 23, 7-9 pm. Register now at https://t.co/LO10G8WPfB. This is a gem! #PTtwitter #concussion #headache #vestibular #orthotwitter #MedTwitter #Neuro #ATC https://t.co/hcVB0NUVuK",https://twitter.com/VestibularFirst/status/1561709668778516482
901,2022-08-22 06:05:26+00:00,1.56E+18,underbounds,@LaurieHernandez I have vestibular migraines and had BPPV which I corrected with exercises- the migraines came to a point where I couldnâ€™t tell when one ended and another began as I never experience headaches and they were 24/7 but on medication and 95% of the time all good!,https://twitter.com/underbounds/status/1561595380055277568
937,2022-08-21 14:44:10+00:00,1.56E+18,apandamonium_,@WuCR34M I dunno bout vestibular but I know @Glintofsilver_ headaches are proper unruly,https://twitter.com/apandamonium_/status/1561363535321595905
942,2022-08-21 09:52:00+00:00,1.56E+18,SazuBurns,"@drlouisenewson My migraines changed from being classic migraine headaches to being mostly vestibular when I entered perimenopause. The improved quite a bit with HRT, but one time I forgot to change my patch, I had a migraine that laid me flat for a week.",https://twitter.com/SazuBurns/status/1561290009818300418
947,2022-08-21 04:26:49+00:00,1.56E+18,kaitokid01,"In the midst of this raging headache, i choose to play FPS.. wish my vestibular system luck guys ðŸ™",https://twitter.com/kaitokid01/status/1561208173729652736
1006,2022-08-19 18:46:52+00:00,1.56E+18,apapadimos,"@louietraub @bettingbadly My vax was 2/21, and my issues were vision/vestibular/headache for 1 yr. Currently on first round of covid - started the antiviral within hrs of testing +, was negative again within 12 hours, but 48 hrs later all vax issues back. Confirms my theory Iâ€™m just allergic to sars2 ðŸ˜­",https://twitter.com/apapadimos/status/1560699839016574976
1044,2022-08-19 00:00:30+00:00,1.56E+18,FarrerJudy,"@WillfullyI @danaparish @rhonda_harbison I had Covid in the beginning. First sign splitting headache, sure I was stroking out. Then low fever, dry cough, fatigue, no smell, no taste. â€œRecovered â€œ taste bad, vestibular labyrinthitis, same headaches,hearing loss,https://t.co/jP8cZ2di7v rehab, poor gait, have brain fog.",https://twitter.com/FarrerJudy/status/1560416379693678594
